Run ID,Ticker,Run,MSE,RMSE,MAE,MAPE,DirAcc (%)
Run2_CSCO_LSTM_ver04.2,CSCO,1,0.883603089736086,0.9400016434752048,0.8375382108505157,2.9260379543188244,47.687861271676304
Run2_CSCO_LSTM_ver04.2,CSCO,2,0.8147868397281964,0.9026554379873842,0.789470640925985,2.7581798040375327,47.97687861271676
Run2_CSCO_LSTM_ver04.2,CSCO,3,0.7600265454263253,0.8717950134213462,0.7597903732605755,2.6607427469354694,46.24277456647399
Run2_CTSH_LSTM_ver04.2,CTSH,1,12.660660254819833,3.558182155935785,2.9601064657639893,4.834249770549754,41.32947976878613
Run2_CTSH_LSTM_ver04.2,CTSH,2,11.361771465412208,3.3707226918588553,2.7855812656546632,4.548587008519827,41.90751445086705
Run2_CTSH_LSTM_ver04.2,CTSH,3,11.738906494548978,3.426208764005629,2.8438460058232717,4.6428894532009455,41.90751445086705
Run2_CTXS_LSTM_ver04.2,CTXS,1,8.718900868375734,2.9527784997144186,2.5712325777545337,3.1707592722973015,43.641618497109825
Run2_CTXS_LSTM_ver04.2,CTXS,2,8.257824793995203,2.873643122239643,2.477274422856925,3.0546303910980126,44.21965317919075
Run2_CTXS_LSTM_ver04.2,CTXS,3,9.918540496771255,3.14937144471262,2.7608855912219346,3.3982737198146262,44.50867052023121
Run2_EA_LSTM_ver04.2,EA,1,23.614521502984775,4.85947749279537,4.565749173685668,6.2838283195404205,51.15606936416185
Run2_EA_LSTM_ver04.2,EA,2,34.34421509029882,5.8603937658060845,5.501970273072729,7.463224941184886,50.28901734104046
Run2_EA_LSTM_ver04.2,EA,3,39.81705953735237,6.310076032612632,5.974157370044632,8.125159722526462,49.13294797687861
Run2_EBAY_LSTM_ver04.2,EBAY,1,3.754611582538979,1.9376820127510548,1.473545692437267,5.051063332222623,47.10982658959538
Run2_EBAY_LSTM_ver04.2,EBAY,2,3.3204196021185783,1.822201855481049,1.3936109716753506,4.7877294587163535,46.24277456647399
Run2_EBAY_LSTM_ver04.2,EBAY,3,3.393570341114538,1.8421645803550066,1.4041612048852583,4.822779941506158,46.24277456647399
Run2_FFIV_LSTM_ver04.2,FFIV,1,6.600931241794239,2.5692277520286595,1.8010351683591959,1.588731097959899,48.26589595375722
Run2_FFIV_LSTM_ver04.2,FFIV,2,7.560883617191747,2.7497060965113613,1.9659384755400522,1.7274513373227984,48.554913294797686
